iter	Passed	Remaining
0	137	137843
1	138	69251
2	139	46385
3	140	34912
4	140	28014
5	141	23401
6	141	20112
7	142	17634
8	142	15710
9	143	14171
10	143	12909
11	144	11859
12	144	10974
13	145	10217
14	145	9558
15	146	8995
16	147	8500
17	147	8046
18	147	7638
19	148	7275
20	149	6946
21	149	6650
22	150	6375
23	150	6123
24	151	5892
25	151	5679
26	152	5483
27	152	5300
28	153	5127
29	153	4966
30	154	4818
31	154	4678
32	155	4547
33	155	4424
34	156	4310
35	156	4202
36	157	4099
37	157	3999
38	158	3906
39	159	3821
40	159	3735
41	160	3654
42	160	3578
43	161	3504
44	161	3433
45	162	3364
46	162	3298
47	163	3235
48	163	3176
49	164	3118
50	164	3062
51	165	3010
52	165	2959
53	166	2909
54	166	2861
55	167	2815
56	167	2770
57	167	2727
58	168	2685
59	168	2645
60	169	2606
61	169	2570
62	170	2535
63	171	2501
64	171	2467
65	172	2435
66	172	2404
67	173	2373
68	173	2342
69	174	2312
70	174	2285
71	175	2259
72	175	2232
73	176	2207
74	176	2181
75	177	2156
76	177	2133
77	178	2108
78	178	2086
79	179	2063
80	179	2041
81	180	2023
82	181	2001
83	181	1982
84	182	1963
85	182	1943
86	183	1923
87	183	1906
88	184	1888
89	184	1870
90	185	1852
91	186	1836
92	186	1819
93	187	1803
94	187	1788
95	188	1772
96	188	1757
97	189	1742
98	189	1727
99	190	1712
100	190	1698
101	191	1684
102	191	1671
103	192	1657
104	192	1644
105	193	1630
106	193	1617
107	194	1605
108	194	1593
109	195	1581
110	195	1569
111	196	1557
112	196	1545
113	197	1534
114	197	1523
115	198	1512
116	199	1503
117	199	1494
118	200	1484
119	201	1474
120	201	1464
121	202	1454
122	202	1445
123	203	1436
124	203	1427
125	204	1419
126	205	1409
127	205	1400
128	206	1392
129	206	1383
130	207	1375
131	207	1367
132	208	1359
133	209	1351
134	209	1343
135	210	1334
136	210	1326
137	211	1318
138	211	1311
139	212	1303
140	212	1295
141	213	1287
142	213	1279
143	214	1272
144	214	1265
145	214	1257
146	215	1250
147	215	1243
148	216	1236
149	217	1229
150	217	1222
151	217	1215
152	218	1208
153	218	1202
154	219	1195
155	219	1189
156	220	1182
157	220	1176
158	221	1169
159	221	1163
160	221	1156
161	222	1150
162	222	1144
163	223	1138
164	223	1132
165	224	1127
166	225	1122
167	225	1117
168	226	1113
169	227	1108
170	227	1104
171	228	1098
172	228	1093
173	229	1088
174	229	1083
175	230	1078
176	231	1074
177	231	1069
178	232	1064
179	232	1059
180	233	1054
181	233	1049
182	234	1044
183	234	1040
184	235	1035
185	235	1031
186	236	1027
187	236	1022
188	237	1018
189	237	1014
190	238	1010
191	239	1006
192	239	1002
193	240	998
194	240	994
195	241	991
196	242	987
197	242	983
198	243	979
199	244	976
200	244	972
201	245	968
202	245	964
203	246	960
204	246	956
205	247	952
206	247	948
207	248	946
208	249	942
209	249	939
210	250	936
211	250	932
212	251	929
213	252	925
214	252	922
215	253	918
216	253	915
217	254	912
218	255	909
219	255	906
220	256	904
221	257	901
222	257	898
223	258	894
224	258	891
225	259	887
226	259	884
227	260	881
228	260	878
229	261	875
230	261	872
231	262	868
232	262	865
233	263	862
234	263	859
235	264	855
236	264	852
237	265	849
238	265	846
239	266	843
240	266	840
241	267	837
242	267	834
243	268	830
244	268	828
245	269	825
246	269	822
247	270	819
248	270	816
249	271	814
250	271	811
251	272	808
252	272	805
253	273	802
254	273	799
255	274	796
256	274	793
257	274	790
258	275	787
259	275	785
260	276	782
261	276	780
262	277	777
263	277	774
264	278	772
265	278	769
266	279	767
267	279	764
268	280	761
269	280	759
270	281	756
271	281	754
272	282	751
273	282	749
274	283	746
275	283	744
276	284	741
277	284	739
278	285	737
279	285	734
280	286	732
281	286	730
282	287	727
283	287	725
284	288	723
285	289	721
286	289	719
287	289	716
288	290	714
289	290	712
290	291	709
291	291	707
292	292	705
293	292	702
294	293	700
295	293	698
296	294	696
297	294	694
298	295	692
299	295	690
300	296	688
301	296	685
302	297	683
303	297	681
304	298	679
305	298	677
306	299	676
307	300	674
308	300	672
309	301	670
310	301	668
311	302	666
312	302	664
313	303	662
314	304	661
315	304	659
316	305	657
317	305	655
318	306	653
319	306	651
320	307	650
321	307	648
322	308	646
323	308	644
324	309	642
325	310	641
326	310	639
327	311	637
328	311	635
329	312	633
330	312	632
331	313	630
332	313	628
333	314	626
334	314	624
335	315	623
336	315	621
337	316	619
338	316	617
339	317	615
340	317	613
341	318	612
342	318	610
343	319	608
344	319	606
345	320	604
346	320	603
347	321	601
348	321	599
349	321	597
350	322	596
351	322	594
352	323	592
353	323	590
354	324	589
355	324	587
356	325	586
357	326	584
358	326	583
359	327	581
360	327	580
361	328	578
362	328	576
363	329	575
364	329	573
365	330	572
366	330	570
367	331	569
368	331	567
369	332	565
370	332	564
371	333	562
372	333	561
373	334	559
374	334	558
375	335	556
376	335	555
377	336	553
378	336	551
379	337	550
380	337	548
381	338	547
382	338	545
383	339	544
384	339	542
385	340	540
386	340	539
387	341	537
388	341	536
389	341	534
390	342	533
391	342	531
392	343	530
393	343	529
394	344	527
395	344	526
396	345	524
397	345	523
398	346	521
399	346	520
400	347	518
401	347	517
402	348	515
403	348	514
404	349	513
405	349	511
406	350	510
407	350	508
408	351	507
409	351	506
410	352	504
411	352	503
412	353	501
413	353	500
414	354	499
415	354	497
416	354	496
417	355	494
418	355	493
419	356	492
420	356	490
421	357	489
422	357	488
423	358	486
424	358	485
425	359	483
426	359	482
427	360	481
428	360	480
429	361	478
430	361	477
431	362	476
432	362	474
433	363	473
434	363	472
435	364	470
436	364	469
437	365	468
438	365	467
439	365	465
440	366	464
441	366	463
442	367	461
443	367	460
444	368	459
445	368	457
446	369	456
447	369	455
448	370	454
